Equipamento;Data/Hora;Corporativo;Descricao Equipamento;Estado;Estado Operacional;Grupo Equipamento/Frente;Grupo Operacao;Horimetro;Latitude;Longitude;Motor Ligado;Operacao;Operador;Quantidade de Caixotes;Regional;RPM Motor;RTK (Piloto Automatico);Tipo de Equipamento;Trabalhando em Fila;Trabalhando Frente Dividida;Unidade;Velocidade;Centro de Custo;Fazenda;Zona;Talhao
2127;08/04/2025 00:00:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669536591;-50.406487783;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:01:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669539769;-50.406487783;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:02:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669562022;-50.406468709;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:03:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669590632;-50.406455994;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:04:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669577916;-50.406468709;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:05:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669574738;-50.406475067;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:06:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669555664;-50.406494141;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:07:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669612885;-50.406513214;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:08:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669612885;-50.406500498;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:09:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669603348;-50.406487783;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
2127;08/04/2025 00:10:33;IB LOGISTICA;CAMINHÃO TRANSBORDO SCANIA G440;PARADA;PARADA;FRENTE 03;Perdida;24028.1;-19.669593811;-50.406475067;0;8310 - SEM OPERADOR;1 - SEM OPERADOR;1;IB LOGISTICA;0;Nao;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;1372;1010;7
