Equipamento;Data/Hora;Corporativo;Descricao Equipamento;Estado;Estado Operacional;Grupo Equipamento/Frente;Grupo Operacao;Horimetro;Latitude;Longitude;Motor Ligado;Operacao;Operador;Quantidade de Caixotes;Regional;RPM Motor;RTK (Piloto Automatico);Tipo de Equipamento;Trabalhando em Fila;Trabalhando Frente Dividida;Unidade;Velocidade;Centro de Custo;Fazenda;Zona;Talhao
6034;11/04/2025 00:02:02;IB LOGISTICA;NEW HOLLAND T7.240;DESLOCAMENTO;DESLOCAMENTO VAZIO;FRENTE 01;Auxiliar;1457.8;-19.044027964;-49.831203461;1;6330 - DESLOC VAZIO TRANSB CARREADOR;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;1241;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;2.7;;0;0;0
6034;11/04/2025 00:03:47;IB LOGISTICA;NEW HOLLAND T7.240;PARADA;PARADA;FRENTE 01;Perdida;1457.8;-19.043716431;-49.831724803;1;8340 - FALTA DE APONTAMENTO;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;227;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;98020;1;22005
6034;11/04/2025 00:03:50;IB LOGISTICA;NEW HOLLAND T7.240;PARADA;PARADA;FRENTE 01;Perdida;1457.8;-19.043710073;-49.831712087;0;8260 - AGUARDANDO COLHEDORA;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;0;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;98020;1;22005
6034;11/04/2025 00:08:50;IB LOGISTICA;NEW HOLLAND T7.240;PARADA;PARADA;FRENTE 01;Perdida;1457.8;-19.043703715;-49.831724803;0;8260 - AGUARDANDO COLHEDORA;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;0;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;98020;1;22005
6034;11/04/2025 00:13:50;IB LOGISTICA;NEW HOLLAND T7.240;PARADA;PARADA;FRENTE 01;Perdida;1457.8;-19.04368782;-49.831737518;0;8260 - AGUARDANDO COLHEDORA;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;0;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;98020;1;22005
6034;11/04/2025 00:16:20;IB LOGISTICA;NEW HOLLAND T7.240;DESLOCAMENTO;DESLOCAMENTO VAZIO;FRENTE 01;Auxiliar;1457.9;-19.04365921;-49.831712087;1;6330 - DESLOC VAZIO TRANSB CARREADOR;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;971;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;2.9;;98020;1;22005
6034;11/04/2025 00:17:46;IB LOGISTICA;NEW HOLLAND T7.240;DESLOCAMENTO;DESLOCAMENTO VAZIO;FRENTE 01;Auxiliar;1457.9;-19.042785009;-49.832780202;1;6330 - DESLOC VAZIO TRANSB CARREADOR;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;1096;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;6.8;;98020;1;22005
6034;11/04/2025 00:19:06;IB LOGISTICA;NEW HOLLAND T7.240;DESLOCAMENTO;DESLOCAMENTO VAZIO;FRENTE 01;Auxiliar;1457.9;-19.04181544;-49.831947327;1;6330 - DESLOC VAZIO TRANSB CARREADOR;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;1112;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;7.2;;98020;1;22005
6034;11/04/2025 00:20:48;IB LOGISTICA;NEW HOLLAND T7.240;DESLOCAMENTO;DESLOCAMENTO VAZIO;FRENTE 01;Auxiliar;1457.9;-19.040884018;-49.832455953;1;6330 - DESLOC VAZIO TRANSB CARREADOR;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;1041;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;4.6;;98020;1;22005
6034;11/04/2025 00:20:57;IB LOGISTICA;NEW HOLLAND T7.240;PARADA;PARADA;FRENTE 01;Perdida;1457.9;-19.040833155;-49.832513173;1;8340 - FALTA DE APONTAMENTO;876839 - CLAUDIO CAMPOS DA SILVA;1;IB LOGISTICA;375;Sim;TRANSBORDO;Nao respeitou o FUT;Nao;IB - LOGISTICA;0;;98020;1;22005
