Equipamento;Hora;Latitude;Longitude;Velocidade
7032;1900-01-01 00:02:45;-18.906149546;-49.488535563;0.0
7032;1900-01-01 00:07:45;-18.906162262;-49.488535563;0.0
7032;1900-01-01 00:12:45;-18.906130473;-49.488541921;0.0
7032;1900-01-01 00:17:45;-18.906092326;-49.488541921;0.0
7032;1900-01-01 00:22:45;-18.906152725;-49.488522847;0.0
7032;1900-01-01 00:24:16;-18.906143188;-49.488522847;0.0
7032;1900-01-01 00:29:16;-18.906140010;-49.488510132;0.0
7032;1900-01-01 00:34:16;-18.906181335;-49.488484701;0.0
7032;1900-01-01 00:38:12;-18.906283061;-49.488510132;2.5
7032;1900-01-01 00:39:02;-18.906413396;-49.488173167;0.0
7032;1900-01-01 00:39:10;-18.906413396;-49.488166809;0.0
7032;1900-01-01 00:44:10;-18.906407038;-49.488173167;0.0
7032;1900-01-01 00:49:10;-18.906378428;-49.488204956;0.0
7032;1900-01-01 00:54:10;-18.906435649;-49.488217672;0.0
7032;1900-01-01 00:59:10;-18.906403859;-49.488160451;0.0
7032;1900-01-01 01:04:10;-18.906384786;-49.488192240;0.0
7032;1900-01-01 01:09:10;-18.906394323;-49.488217672;0.0
7032;1900-01-01 01:13:40;-18.906410217;-49.488039653;2.2
7032;1900-01-01 01:13:56;-18.906435649;-49.487963359;1.8
7032;1900-01-01 01:15:32;-18.906461080;-49.487359365;0.0
7032;1900-01-01 01:15:33;-18.906461080;-49.487359365;1.6
7032;1900-01-01 01:16:01;-18.906419754;-49.487556458;4.0
7032;1900-01-01 01:17:22;-18.905720393;-49.488160451;4.6
7032;1900-01-01 01:17:32;-18.905625025;-49.488224030;4.3
7032;1900-01-01 01:19:10;-18.905249914;-49.487899780;1.7
7032;1900-01-01 01:19:23;-18.905278524;-49.487880707;0.0
7032;1900-01-01 01:19:25;-18.905278524;-49.487880707;0.0
7032;1900-01-01 01:19:46;-18.905303955;-49.487893422;0.0
7032;1900-01-01 01:24:46;-18.905281703;-49.487893422;0.0
7032;1900-01-01 01:29:46;-18.905240377;-49.487925212;0.0
7032;1900-01-01 01:31:16;-18.905214945;-49.487906138;1.6
7032;1900-01-01 01:32:40;-18.905866623;-49.487391154;4.0
7032;1900-01-01 01:32:41;-18.905876160;-49.487384796;3.7
7032;1900-01-01 01:32:44;-18.905898412;-49.487359365;3.7
7032;1900-01-01 01:34:15;-18.906480153;-49.486793518;0.0
7032;1900-01-01 01:34:20;-18.906476974;-49.486793518;1.6
7032;1900-01-01 01:34:24;-18.906476974;-49.486793518;0.0
7032;1900-01-01 01:34:39;-18.906483332;-49.486818949;1.0
7032;1900-01-01 01:35:55;-18.906330744;-49.487607320;2.4
7032;1900-01-01 01:36:37;-18.906155904;-49.487766266;3.7
7032;1900-01-01 01:36:50;-18.906041463;-49.487855275;4.2
7032;1900-01-01 01:38:00;-18.905488332;-49.488262177;2.5
7032;1900-01-01 01:38:46;-18.905351639;-49.488370260;3.3
7032;1900-01-01 01:39:44;-18.904537837;-49.488662720;21.6
7032;1900-01-01 01:41:12;-18.904051463;-49.489158630;3.7
7032;1900-01-01 01:42:27;-18.903345744;-49.489438375;4.1
7032;1900-01-01 01:43:59;-18.902468363;-49.489584605;3.2
7032;1900-01-01 01:44:06;-18.902442932;-49.489590963;1.5
7032;1900-01-01 01:44:33;-18.902350744;-49.489622752;2.1
7032;1900-01-01 01:46:10;-18.901412964;-49.489622752;4.2
7032;1900-01-01 01:47:47;-18.900576909;-49.489451090;3.3
7032;1900-01-01 01:50:39;-18.898812612;-49.489037832;4.1
7032;1900-01-01 01:51:47;-18.898278554;-49.488917033;0.0
7032;1900-01-01 01:51:48;-18.898278554;-49.488917033;0.0
7032;1900-01-01 01:52:03;-18.898278554;-49.488910675;0.0
7032;1900-01-01 01:52:19;-18.898278554;-49.488917033;0.0
7032;1900-01-01 01:52:54;-18.898265839;-49.488923391;0.0
7032;1900-01-01 01:57:54;-18.898253123;-49.488891602;0.0
7032;1900-01-01 02:01:59;-18.898221334;-49.488853455;2.5
7032;1900-01-01 02:02:03;-18.898189545;-49.488840739;3.9
7032;1900-01-01 02:03:39;-18.897286733;-49.488656362;3.8
7032;1900-01-01 02:05:29;-18.896399816;-49.488459269;3.1
7032;1900-01-01 02:07:57;-18.895099640;-49.487836202;5.4
7032;1900-01-01 02:08:28;-18.894804001;-49.487607320;2.4
7032;1900-01-01 02:08:35;-18.894835790;-49.487607320;0.0
7032;1900-01-01 02:08:36;-18.894835790;-49.487594604;1.4
7032;1900-01-01 02:08:59;-18.894838969;-49.487594604;0.0
7032;1900-01-01 02:09:29;-18.894940694;-49.487620036;3.2
7032;1900-01-01 02:09:35;-18.894982020;-49.487632751;2.8
7032;1900-01-01 02:14:02;-18.897591909;-49.488243103;3.8
7032;1900-01-01 02:15:26;-18.898478826;-49.488446554;4.4
7032;1900-01-01 02:16:48;-18.899356206;-49.488656362;4.6
7032;1900-01-01 02:18:11;-18.900239944;-49.488866170;4.8
7032;1900-01-01 02:19:36;-18.901139577;-49.489075979;3.3
7032;1900-01-01 02:19:51;-18.901199977;-49.489095052;0.0
7032;1900-01-01 02:19:53;-18.901199977;-49.489088694;0.0
7032;1900-01-01 02:20:26;-18.901193619;-49.489088694;0.0
7032;1900-01-01 02:25:26;-18.901234945;-49.489114126;0.0
7032;1900-01-01 02:30:26;-18.901222229;-49.489088694;0.0
7032;1900-01-01 02:31:36;-18.901304881;-49.489088694;3.7
7032;1900-01-01 02:31:43;-18.901368459;-49.489101410;4.0
7032;1900-01-01 02:31:46;-18.901397069;-49.489101410;3.7
7032;1900-01-01 02:32:21;-18.901692708;-49.489158630;2.1
