Equipamento;Hora;Latitude;Longitude;Velocidade;RTK
7029.0;00:02:02;-18.882018407;-48.984179179;2.6;Não
7029.0;00:02:43;-18.881881714;-48.984439850;3.4;Não
7029.0;00:03:47;-18.881767273;-48.985387166;5.7;Não
7029.0;00:05:01;-18.881713231;-48.986321767;1.2;Não
7029.0;00:06:07;-18.881722768;-48.986188253;2.6;Não
7029.0;00:07:11;-18.881786346;-48.985228221;5.8;Não
7029.0;00:08:15;-18.881932576;-48.984274546;8.4;Não
7029.0;00:09:21;-18.882218679;-48.983359019;5.9;Não
7029.0;00:11:28;-18.883102417;-48.981705983;5.6;Não
7029.0;00:12:31;-18.883617401;-48.980923971;5.8;Não
7029.0;00:14:36;-18.884742737;-48.979442596;5.4;Não
7029.0;00:16:37;-18.885480245;-48.978876750;4.3;Não
7029.0;00:17:45;-18.884901683;-48.979614258;5.6;Não
7029.0;00:18:46;-18.884339015;-48.980364482;5.8;Não
7029.0;00:19:58;-18.883798599;-48.981133779;4.8;Não
7029.0;00:21:13;-18.883261363;-48.981915792;6.1;Não
7029.0;00:21:33;-18.883175532;-48.982055664;1.4;Não
7029.0;00:22:03;-18.883172353;-48.982004801;5.3;Não
7029.0;00:22:23;-18.883140564;-48.982087453;1.6;Não
7029.0;00:22:27;-18.883137385;-48.982093811;0.0;Não
7029.0;00:23:30;-18.883131027;-48.982081095;0.0;Não
7029.0;00:28:29;-18.883124669;-48.982144674;3.7;Não
7029.0;00:29:42;-18.882666906;-48.982964834;4.9;Não
7029.0;00:30:49;-18.882320404;-48.983854930;5.3;Não
7029.0;00:31:30;-18.882158279;-48.984369914;4.7;Não
7029.0;00:32:37;-18.882018407;-48.985291799;5.5;Não
7029.0;00:33:42;-18.881961187;-48.986251831;5.4;Não
7029.0;00:33:57;-18.881948471;-48.986423492;1.0;Não
7029.0;00:34:41;-18.881710052;-48.986213684;2.8;Não
7029.0;00:35:52;-18.881786346;-48.985247294;5.7;Não
7029.0;00:36:59;-18.881926219;-48.984268188;6.8;Não
7029.0;00:38:08;-18.882215500;-48.983390808;5.9;Não
7029.0;00:39:12;-18.882584254;-48.982526143;4.5;Não
7029.0;00:40:20;-18.883108775;-48.981699626;6.2;Não
7029.0;00:41:24;-18.883630117;-48.980923971;5.6;Não
7029.0;00:42:26;-18.884170532;-48.980161031;5.3;Não
7029.0;00:43:30;-18.884739558;-48.979417165;5.4;Não
7029.0;00:44:38;-18.885289510;-48.978724162;3.2;Não
7029.0;00:47:04;-18.884742737;-48.979849497;0.0;Não
7029.0;00:47:08;-18.884742737;-48.979849497;1.5;Não
7029.0;00:48:14;-18.884199142;-48.980650584;6.0;Não
7029.0;00:49:17;-18.883646011;-48.981407166;5.9;Não
7029.0;00:50:20;-18.883127848;-48.982176463;5.7;Não
7029.0;00:51:23;-18.882685979;-48.982977549;5.6;Não
7029.0;00:52:26;-18.882320404;-48.983848572;5.9;Não
7029.0;00:53:29;-18.882091522;-48.984764099;5.8;Não
7029.0;00:54:32;-18.881999334;-48.985711416;5.8;Não
7029.0;00:55:24;-18.881973902;-48.986436208;1.6;Não
7029.0;00:55:54;-18.881687800;-48.986328125;3.7;Não
7029.0;00:56:03;-18.881690979;-48.986220042;4.5;Não
7029.0;00:57:08;-18.881751378;-48.985279083;5.7;Não
7029.0;00:58:11;-18.881903966;-48.984331767;4.2;Não
7029.0;00:59:20;-18.882174174;-48.983441671;5.7;Não
7029.0;01:00:21;-18.882577896;-48.982570648;5.7;Não
7029.0;01:01:23;-18.883048375;-48.981756846;6.0;Não
7029.0;01:02:27;-18.883550644;-48.980962118;5.8;Não
7029.0;01:03:31;-18.884106954;-48.980199178;6.6;Não
7029.0;01:04:34;-18.884675980;-48.979468028;6.7;Não
7029.0;01:04:49;-18.884704590;-48.979391734;4.0;Não
7029.0;01:05:12;-18.884707769;-48.979429881;0.0;Não
7029.0;01:05:29;-18.884691874;-48.979442596;0.0;Não
7029.0;01:10:29;-18.884691874;-48.979461670;0.0;Não
7029.0;01:15:29;-18.884701411;-48.979468028;0.9;Não
7029.0;01:17:41;-18.884720484;-48.979417165;1.9;Não
7029.0;01:18:52;-18.885302226;-48.978711446;3.8;Não
7029.0;01:19:44;-18.885518392;-48.978908539;3.6;Não
7029.0;01:20:53;-18.884933472;-48.979639689;5.7;Não
7029.0;01:21:58;-18.884354909;-48.980389913;5.5;Não
7029.0;01:23:03;-18.883804957;-48.981165568;5.6;Não
7029.0;01:24:09;-18.883270899;-48.981960297;5.6;Não
7029.0;01:25:14;-18.882797241;-48.982755025;5.3;Não
7029.0;01:25:26;-18.882733663;-48.982863108;1.9;Não
7029.0;01:25:44;-18.882717768;-48.982894897;3.1;Não
7029.0;01:26:50;-18.882349014;-48.983765920;5.6;Não
7029.0;01:27:58;-18.882107417;-48.984675090;6.2;Não
7029.0;01:29:04;-18.882021586;-48.985622406;5.9;Não
7029.0;01:29:49;-18.882002513;-48.986277262;5.1;Não
7029.0;01:30:03;-18.881996155;-48.986410777;0.0;Não
7029.0;01:30:15;-18.881986618;-48.986378988;1.4;Não
7029.0;01:30:23;-18.881983439;-48.986347198;1.9;Não
7029.0;01:31:28;-18.881662369;-48.986188253;2.8;Não
7029.0;01:31:37;-18.881662369;-48.986200968;1.5;Não
7029.0;01:32:12;-18.881656011;-48.986232758;0.0;Não
7029.0;01:37:15;-18.881678263;-48.986213684;0.0;Não
7029.0;01:42:15;-18.881665548;-48.986207326;0.0;Não
7029.0;01:47:15;-18.881687800;-48.986220042;0.0;Não
7029.0;01:51:45;-18.881690979;-48.986188253;2.2;Não
7029.0;01:52:49;-18.881741842;-48.985234578;5.7;Não
7029.0;01:53:25;-18.881802241;-48.984694163;5.8;Não
7029.0;01:54:31;-18.882012049;-48.983759562;5.8;Não
7029.0;01:55:34;-18.882383982;-48.982888540;5.9;Não
7029.0;01:56:35;-18.882819494;-48.982074738;5.9;Não
7029.0;01:57:40;-18.883350372;-48.981273651;5.6;Não
7029.0;01:58:43;-18.883897146;-48.980491638;5.5;Não
7029.0;01:59:48;-18.884453456;-48.979728699;5.3;Não
7029.0;02:00:51;-18.885038376;-48.978984833;5.7;Não
7029.0;02:01:23;-18.885232290;-48.978717804;1.0;Não
7029.0;02:02:15;-18.885543823;-48.978883108;4.7;Não
7029.0;02:03:21;-18.884965261;-48.979595184;5.8;Não
7029.0;02:04:25;-18.884396235;-48.980345408;6.5;Não
7029.0;02:05:28;-18.883836746;-48.981101990;5.3;Não
7029.0;02:06:33;-18.883321762;-48.981903076;6.4;Não
7029.0;02:07:51;-18.882838567;-48.982716878;5.6;Não
7029.0;02:08:56;-18.882441203;-48.983575185;5.6;Não
7029.0;02:10:05;-18.882170995;-48.984490712;5.6;Não
7029.0;02:11:10;-18.882021586;-48.985418955;5.5;Não
7029.0;02:12:13;-18.881986618;-48.986347198;5.6;Não
7029.0;02:12:19;-18.881983439;-48.986404419;1.6;Não
7029.0;02:13:06;-18.881652832;-48.986131032;1.7;Não
7029.0;02:14:11;-18.881706874;-48.985190074;5.6;Não
7029.0;02:15:16;-18.881875356;-48.984261831;4.4;Não
7029.0;02:17:29;-18.882577896;-48.982500712;5.5;Não
7029.0;02:18:34;-18.883061091;-48.981686910;5.7;Não
7029.0;02:19:36;-18.883576075;-48.980898539;5.5;Não
7029.0;02:21:46;-18.884701411;-48.979379018;5.7;Não
7029.0;02:22:48;-18.885225932;-48.978705088;0.0;Não
7029.0;02:25:30;-18.884965261;-48.979614258;0.0;Não
7029.0;02:25:39;-18.884968440;-48.979614258;0.0;Não
7029.0;02:30:44;-18.884971619;-48.979620616;0.0;Não
7029.0;02:31:54;-18.884949366;-48.979633331;2.2;Não
7029.0;02:34:01;-18.883827209;-48.981152852;5.6;Não
7029.0;02:35:04;-18.883296331;-48.981928507;5.9;Não
7029.0;02:36:07;-18.882841746;-48.982761383;5.6;Não
7029.0;02:38:18;-18.882174174;-48.984528859;5.6;Não
7029.0;02:39:20;-18.882040660;-48.985457102;6.1;Não
7029.0;02:40:24;-18.881986618;-48.986410777;5.2;Não
7029.0;02:40:33;-18.881977081;-48.986436208;1.9;Não
7029.0;02:41:12;-18.881640116;-48.986188253;5.3;Não
7029.0;02:42:15;-18.881700516;-48.985234578;7.2;Não
7029.0;02:43:16;-18.881853104;-48.984299978;5.4;Não
7029.0;02:44:20;-18.882129669;-48.983390808;5.7;Não
7029.0;02:45:23;-18.882530212;-48.982545217;5.8;Não
7029.0;02:46:27;-18.882991155;-48.981731415;6.0;Não
7029.0;02:46:39;-18.883013407;-48.981686910;0.0;Não
7029.0;02:46:46;-18.883035660;-48.981655121;2.9;Não
7029.0;02:48:57;-18.884126027;-48.980135600;5.7;Não
7029.0;02:50:02;-18.884675980;-48.979379018;6.0;Não
7029.0;02:51:08;-18.885238647;-48.978711446;5.8;Não
7029.0;02:51:46;-18.885559718;-48.978895823;3.7;Não
7029.0;02:52:57;-18.884958903;-48.979665120;5.1;Não
7029.0;02:54:02;-18.884396235;-48.980408986;5.2;Não
7029.0;02:55:07;-18.883852641;-48.981184642;5.4;Não
7029.0;02:56:11;-18.883334478;-48.981947581;5.2;Não
7029.0;02:57:15;-18.882863998;-48.982761383;4.9;Não
7029.0;02:58:23;-18.882469813;-48.983626048;6.0;Não
7029.0;02:59:08;-18.882288615;-48.984153748;0.0;Não
7029.0;03:01:08;-18.882205963;-48.984369914;4.0;Não
7029.0;03:01:50;-18.882113775;-48.985012054;5.5;Não
7029.0;03:02:53;-18.882027944;-48.985946655;5.7;Não
7029.0;03:03:28;-18.882005692;-48.986410777;1.6;Não
7029.0;03:03:58;-18.882361730;-48.986569722;7.3;Não
7029.0;03:04:38;-18.882520676;-48.986474355;5.7;Não
7029.0;03:05:40;-18.882577896;-48.985507965;6.2;Não
7029.0;03:06:44;-18.882698695;-48.984579722;5.4;Não
7029.0;03:07:21;-18.882863998;-48.984058380;6.1;Não
7029.0;03:07:26;-18.882892609;-48.984001160;5.2;Não
7029.0;03:08:30;-18.883270899;-48.983149211;5.7;Não
7029.0;03:09:33;-18.883744558;-48.982341766;5.5;Não
7029.0;03:10:40;-18.884281794;-48.981502533;5.8;Não
7029.0;03:11:41;-18.884777705;-48.980803172;1.5;Não
7029.0;03:12:10;-18.884793599;-48.980784098;4.9;Não
7029.0;03:12:53;-18.885095596;-48.980377197;1.5;Não
7029.0;03:13:00;-18.885108312;-48.980364482;1.7;Não
7029.0;03:14:07;-18.885690053;-48.979620616;5.1;Não
7029.0;03:15:12;-18.886265437;-48.978908539;4.1;Não
7029.0;03:15:16;-18.886287689;-48.978883108;0.0;Não
7029.0;03:15:27;-18.886233648;-48.978940328;0.0;Não
7029.0;03:16:58;-18.885702769;-48.978800456;4.8;Não
7029.0;03:17:46;-18.885632833;-48.978832245;0.0;Não
7029.0;03:23:10;-18.885639191;-48.978832245;0.0;Não
7029.0;03:28:10;-18.885629654;-48.978832245;0.0;Não
7029.0;03:33:10;-18.885636012;-48.978825887;0.0;Não
7029.0;03:34:51;-18.885566076;-48.978914897;2.4;Não
7029.0;03:38:09;-18.883827209;-48.981216431;6.4;Não
7029.0;03:39:12;-18.883293152;-48.982036591;5.7;Não
7029.0;03:40:14;-18.882841746;-48.982837677;6.0;Não
7029.0;03:41:18;-18.882463455;-48.983689626;5.7;Não
