Equipamento;Hora;Latitude;Longitude;Velocidade
7029;1900-01-01 00:00:58;-18.827213923;-49.141976674;5.1
7029;1900-01-01 00:02:03;-18.827655792;-49.142815908;6.6
7029;1900-01-01 00:05:17;-18.827687581;-49.145721436;1.2
7029;1900-01-01 00:08:23;-18.827878316;-49.143578847;6.4
7029;1900-01-01 00:09:26;-18.827617645;-49.142669678;5.6
7029;1900-01-01 00:10:28;-18.827153524;-49.141843160;5.2
7029;1900-01-01 00:11:29;-18.826616287;-49.141232808;0.0
7029;1900-01-01 00:11:30;-18.826616287;-49.141232808;1.5
7029;1900-01-01 00:11:48;-18.826581319;-49.141220093;0.0
7029;1900-01-01 00:11:50;-18.826584498;-49.141220093;1.5
7029;1900-01-01 00:12:04;-18.826632182;-49.141245524;2.8
7029;1900-01-01 00:12:06;-18.826644897;-49.141245524;0.0
7029;1900-01-01 00:12:08;-18.826638540;-49.141232808;2.2
7029;1900-01-01 00:12:37;-18.826683044;-49.141290029;0.0
7029;1900-01-01 00:12:42;-18.826686223;-49.141302745;1.8
7029;1900-01-01 00:13:49;-18.827280680;-49.142014821;6.3
7029;1900-01-01 00:14:48;-18.827706655;-49.142854055;6.0
7029;1900-01-01 00:15:48;-18.827910105;-49.143782298;6.3
7029;1900-01-01 00:16:48;-18.827897390;-49.144735972;5.6
7029;1900-01-01 00:20:38;-18.827945073;-49.144386292;5.5
7029;1900-01-01 00:21:41;-18.827871958;-49.143432617;5.4
7029;1900-01-01 00:22:45;-18.827579498;-49.142529806;5.5
7029;1900-01-01 00:23:50;-18.827089945;-49.141722361;5.3
7029;1900-01-01 00:24:47;-18.826632182;-49.141220093;0.0
7029;1900-01-01 00:24:50;-18.826635361;-49.141220093;1.3
7029;1900-01-01 00:24:59;-18.826651255;-49.141251882;0.9
7029;1900-01-01 00:25:00;-18.826654434;-49.141251882;1.6
7029;1900-01-01 00:25:16;-18.826689402;-49.141232808;0.0
7029;1900-01-01 00:25:26;-18.826635361;-49.141232808;1.3
7029;1900-01-01 00:25:50;-18.826718012;-49.141283671;0.0
7029;1900-01-01 00:25:54;-18.826721191;-49.141290029;1.0
7029;1900-01-01 00:27:09;-18.827309291;-49.142014821;5.7
7029;1900-01-01 00:28:17;-18.827719371;-49.142847697;6.6
7029;1900-01-01 00:29:26;-18.827922821;-49.143782298;5.5
7029;1900-01-01 00:30:32;-18.827906926;-49.144729614;5.5
7029;1900-01-01 00:31:55;-18.827789307;-49.145594279;2.6
7029;1900-01-01 00:32:02;-18.827833811;-49.145549774;0.0
7029;1900-01-01 00:32:03;-18.827830633;-49.145556132;3.5
7029;1900-01-01 00:32:19;-18.827817917;-49.145543416;0.0
7029;1900-01-01 00:32:20;-18.827817917;-49.145543416;1.6
7029;1900-01-01 00:33:12;-18.827805201;-49.145378113;0.0
7029;1900-01-01 00:33:29;-18.827808380;-49.145371755;1.9
7029;1900-01-01 00:34:47;-18.827957789;-49.144443512;5.9
7029;1900-01-01 00:35:54;-18.827906926;-49.143489838;5.3
7029;1900-01-01 00:36:18;-18.827843348;-49.143203735;0.0
7029;1900-01-01 00:36:20;-18.827843348;-49.143203735;1.1
7029;1900-01-01 00:36:22;-18.827846527;-49.143210093;0.0
7029;1900-01-01 00:36:23;-18.827846527;-49.143210093;1.3
7029;1900-01-01 00:36:27;-18.827849706;-49.143229167;1.6
7029;1900-01-01 00:36:36;-18.827862422;-49.143280029;2.1
7029;1900-01-01 00:36:47;-18.827881495;-49.143375397;1.1
7029;1900-01-01 00:36:56;-18.827887853;-49.143394470;1.0
7029;1900-01-01 00:37:08;-18.827865601;-49.143286387;0.0
7029;1900-01-01 00:37:10;-18.827868780;-49.143286387;1.0
7029;1900-01-01 00:37:11;-18.827868780;-49.143286387;0.9
7029;1900-01-01 00:37:12;-18.827871958;-49.143292745;1.7
7029;1900-01-01 00:37:15;-18.827875137;-49.143311818;2.4
7029;1900-01-01 00:37:32;-18.827891032;-49.143375397;1.0
7029;1900-01-01 00:39:28;-18.827878316;-49.143324534;4.8
7029;1900-01-01 00:39:53;-18.827808380;-49.143057505;0.0
7029;1900-01-01 00:39:59;-18.827814738;-49.143076579;1.6
7029;1900-01-01 00:40:08;-18.827824275;-49.143108368;1.2
7029;1900-01-01 00:40:11;-18.827827454;-49.143114726;1.1
7029;1900-01-01 00:40:15;-18.827827454;-49.143121084;0.0
7029;1900-01-01 00:40:17;-18.827827454;-49.143121084;1.1
7029;1900-01-01 00:40:21;-18.827830633;-49.143140157;1.0
7029;1900-01-01 00:40:22;-18.827830633;-49.143140157;1.5
7029;1900-01-01 00:40:32;-18.827836990;-49.143165588;0.0
7029;1900-01-01 00:41:07;-18.827865601;-49.143229167;1.0
7029;1900-01-01 00:41:08;-18.827865601;-49.143229167;0.9
7029;1900-01-01 00:41:09;-18.827865601;-49.143235524;2.8
7029;1900-01-01 00:41:13;-18.827878316;-49.143280029;4.2
7029;1900-01-01 00:42:34;-18.827891032;-49.143381755;1.4
7029;1900-01-01 00:42:38;-18.827894211;-49.143400828;1.3
7029;1900-01-01 00:42:56;-18.827884674;-49.143375397;3.7
7029;1900-01-01 00:43:11;-18.827852885;-49.143248240;0.0
7029;1900-01-01 00:43:12;-18.827852885;-49.143248240;1.2
