Equipamento;Hora;Latitude;Longitude;Velocidade
7028;1900-01-01 00:00:04;-19.104468664;-50.861701965;5.3
7028;1900-01-01 00:01:04;-19.104160309;-50.860888163;5.3
7028;1900-01-01 00:02:04;-19.103832881;-50.860099792;5.2
7028;1900-01-01 00:03:04;-19.103371938;-50.859336853;5.5
7028;1900-01-01 00:04:04;-19.102841059;-50.858840942;5.3
7028;1900-01-01 00:05:04;-19.102221171;-50.858383179;5.1
7028;1900-01-01 00:06:04;-19.101547241;-50.857912699;5.1
7028;1900-01-01 00:07:04;-19.100889206;-50.857448578;5.1
7028;1900-01-01 00:08:04;-19.100224813;-50.856965383;5.2
7028;1900-01-01 00:09:04;-19.099557241;-50.856501261;4.7
7028;1900-01-01 00:09:24;-19.099426905;-50.856405894;2.2
7028;1900-01-01 00:10:24;-19.099433263;-50.856380463;2.8
7028;1900-01-01 00:10:28;-19.099455516;-50.856399536;2.3
7028;1900-01-01 00:10:43;-19.099557241;-50.856469472;5.0
7028;1900-01-01 00:10:44;-19.099566778;-50.856475830;5.3
7028;1900-01-01 00:11:44;-19.100266139;-50.856971741;6.0
7028;1900-01-01 00:13:44;-19.101728439;-50.858008067;6.1
7028;1900-01-01 00:14:44;-19.102465947;-50.858529409;5.6
7028;1900-01-01 00:15:44;-19.103158951;-50.859095256;5.1
7028;1900-01-01 00:15:56;-19.103212992;-50.859152476;0.0
7028;1900-01-01 00:16:56;-19.103025436;-50.859006246;0.0
7028;1900-01-01 00:17:04;-19.103025436;-50.859006246;0.0
7028;1900-01-01 00:17:33;-19.103022257;-50.858999888;0.0
7028;1900-01-01 00:17:40;-19.103022257;-50.858999888;0.0
7028;1900-01-01 00:18:40;-19.103006363;-50.859006246;0.0
7028;1900-01-01 00:19:40;-19.103019079;-50.859006246;0.0
7028;1900-01-01 00:20:40;-19.103000005;-50.859018962;0.0
7028;1900-01-01 00:21:40;-19.103009542;-50.859025319;0.0
7028;1900-01-01 00:22:03;-19.103006363;-50.859018962;0.0
7028;1900-01-01 00:22:10;-19.103009542;-50.859018962;0.0
7028;1900-01-01 00:22:27;-19.103006363;-50.859018962;0.0
7028;1900-01-01 00:23:27;-19.103000005;-50.859006246;0.0
7028;1900-01-01 00:24:15;-19.103003184;-50.859006246;0.0
7028;1900-01-01 00:25:15;-19.102996826;-50.858999888;0.0
7028;1900-01-01 00:26:15;-19.103015900;-50.859018962;1.8
7028;1900-01-01 00:26:35;-19.103133519;-50.859095256;3.1
7028;1900-01-01 00:27:15;-19.103330612;-50.859292348;2.0
7028;1900-01-01 00:28:15;-19.103715261;-50.859832764;4.8
7028;1900-01-01 00:29:18;-19.104090373;-50.860627492;5.7
7028;1900-01-01 00:30:18;-19.104401906;-50.861441294;5.4
7028;1900-01-01 00:31:18;-19.104691188;-50.862274170;5.4
7028;1900-01-01 00:32:18;-19.104990005;-50.863113403;5.7
7028;1900-01-01 00:39:05;-19.105848312;-50.867773692;0.0
7028;1900-01-01 00:44:58;-19.105142593;-50.863564809;5.7
7028;1900-01-01 00:49:58;-19.103734334;-50.859845479;5.1
7028;1900-01-01 00:51:18;-19.103174845;-50.859107971;1.9
7028;1900-01-01 00:51:27;-19.103108088;-50.859044393;4.7
7028;1900-01-01 00:52:27;-19.102497737;-50.858529409;5.2
7028;1900-01-01 00:53:27;-19.101861954;-50.858090719;4.9
7028;1900-01-01 00:54:27;-19.101242065;-50.857652028;4.7
7028;1900-01-01 00:55:27;-19.100596746;-50.857187907;5.2
7028;1900-01-01 00:56:27;-19.099976858;-50.856755575;5.8
7028;1900-01-01 00:57:24;-19.099315643;-50.856316884;1.1
7028;1900-01-01 00:58:24;-19.099458694;-50.856374105;4.3
7028;1900-01-01 00:58:27;-19.099484126;-50.856386820;3.8
7028;1900-01-01 00:58:44;-19.099522273;-50.856412252;5.5
7028;1900-01-01 01:00:44;-19.100831985;-50.857346853;5.4
7028;1900-01-01 01:01:04;-19.100959142;-50.857435862;0.0
7028;1900-01-01 01:01:15;-19.100959142;-50.857448578;1.2
7028;1900-01-01 01:02:15;-19.101696650;-50.857957204;6.2
7028;1900-01-01 01:03:15;-19.102485021;-50.858510335;6.4
7028;1900-01-01 01:04:15;-19.103219350;-50.859120687;6.0
7028;1900-01-01 01:05:15;-19.103759766;-50.859889984;6.0
7028;1900-01-01 01:06:15;-19.104141235;-50.860767365;6.6
7028;1900-01-01 01:08:15;-19.104808807;-50.862572988;6.0
7028;1900-01-01 01:20:54;-19.105050405;-50.863176982;6.1
7028;1900-01-01 01:21:54;-19.104770660;-50.862369537;6.1
7028;1900-01-01 01:23:54;-19.104099909;-50.860563914;6.0
7028;1900-01-01 01:24:54;-19.103712082;-50.859743754;5.7
7028;1900-01-01 01:25:53;-19.103200277;-50.859082540;4.2
7028;1900-01-01 01:25:58;-19.103158951;-50.859044393;4.6
7028;1900-01-01 01:26:58;-19.102440516;-50.858472188;5.9
7028;1900-01-01 01:28:58;-19.100975037;-50.857435862;5.8
7028;1900-01-01 01:29:58;-19.100269318;-50.856933594;5.8
7028;1900-01-01 01:30:58;-19.099531809;-50.856412252;6.4
7028;1900-01-01 01:31:22;-19.099369685;-50.856297811;2.8
7028;1900-01-01 01:32:22;-19.099474589;-50.856355031;0.0
7028;1900-01-01 01:32:38;-19.099477768;-50.856361389;0.0
7028;1900-01-01 01:32:44;-19.099509557;-50.856380463;4.1
7028;1900-01-01 01:33:47;-19.100269318;-50.856914520;5.9
7028;1900-01-01 01:35:55;-19.101833344;-50.858027140;5.6
7028;1900-01-01 01:36:55;-19.102564494;-50.858535767;5.7
7028;1900-01-01 01:37:55;-19.103187561;-50.859063466;3.4
7028;1900-01-01 01:38:55;-19.103658040;-50.859642029;5.8
7028;1900-01-01 01:39:41;-19.103940964;-50.860182444;0.0
7028;1900-01-01 01:40:04;-19.103972753;-50.860239665;4.1
7028;1900-01-01 01:56:53;-19.104751587;-50.862248739;5.9
7028;1900-01-01 01:58:53;-19.104096731;-50.860455831;6.2
7028;1900-01-01 02:00:54;-19.103127162;-50.858974457;0.0
7028;1900-01-01 02:01:54;-19.102434158;-50.858434041;5.8
7028;1900-01-01 02:02:54;-19.101741155;-50.857944489;5.3
7028;1900-01-01 02:03:54;-19.101054509;-50.857454936;5.5
7028;1900-01-01 02:04:54;-19.100386937;-50.856971741;5.3
7028;1900-01-01 02:05:54;-19.099709829;-50.856494904;5.2
7028;1900-01-01 02:06:33;-19.099363327;-50.856246948;2.2
7028;1900-01-01 02:07:33;-19.099407832;-50.856266022;3.3
7028;1900-01-01 02:07:34;-19.099411011;-50.856266022;2.9
7028;1900-01-01 02:07:52;-19.099528631;-50.856355031;6.3
7028;1900-01-01 02:09:52;-19.100924174;-50.857315063;5.8
7028;1900-01-01 02:10:52;-19.101633072;-50.857804616;5.8
7028;1900-01-01 02:11:52;-19.102348328;-50.858306885;5.8
7028;1900-01-01 02:12:52;-19.103050868;-50.858872732;6.1
7028;1900-01-01 02:13:52;-19.103581746;-50.859464010;5.3
7028;1900-01-01 02:14:52;-19.104010900;-50.860246023;6.0
7028;1900-01-01 03:48:16;-19.105237961;-50.863526662;6.1
7028;1900-01-01 03:49:16;-19.104929606;-50.862623851;6.3
7028;1900-01-01 03:51:16;-19.104277929;-50.860837301;6.1
7028;1900-01-01 03:53:19;-19.103327433;-50.859146118;6.6
7028;1900-01-01 03:54:19;-19.102678935;-50.858567556;6.5
7028;1900-01-01 03:55:19;-19.101893743;-50.858027140;6.5
7028;1900-01-01 03:56:19;-19.101140340;-50.857486725;6.0
7028;1900-01-01 03:58:19;-19.099598567;-50.856399536;6.0
7028;1900-01-01 03:58:44;-19.099372864;-50.856240590;1.4
7028;1900-01-01 03:59:44;-19.099500020;-50.856304169;1.1
7028;1900-01-01 03:59:50;-19.099525452;-50.856323242;1.8
7028;1900-01-01 04:00:50;-19.100278854;-50.856850942;5.5
7028;1900-01-01 04:01:50;-19.101041794;-50.857391357;6.3
7028;1900-01-01 04:03:50;-19.102529526;-50.858446757;6.0
7028;1900-01-01 04:04:50;-19.103241603;-50.859031677;3.5
7028;1900-01-01 04:05:50;-19.103794734;-50.859731038;6.6
7028;1900-01-01 04:06:54;-19.104204814;-50.860646566;6.4
7028;1900-01-01 04:23:54;-19.104633967;-50.861727397;5.7
7028;1900-01-01 04:24:54;-19.104290644;-50.860818227;5.9
7028;1900-01-01 04:26:54;-19.103486379;-50.859260559;5.9
7028;1900-01-01 04:27:14;-19.103327433;-50.859088898;0.0
7028;1900-01-01 04:28:14;-19.103203456;-50.858961741;2.9
7028;1900-01-01 04:28:15;-19.103197098;-50.858949025;3.7
7028;1900-01-01 04:30:15;-19.101728439;-50.857855479;6.0
7028;1900-01-01 04:31:15;-19.100968679;-50.857321421;5.8
7028;1900-01-01 04:32:15;-19.100224813;-50.856793722;6.8
7028;1900-01-01 04:33:15;-19.099449158;-50.856240590;6.3
7028;1900-01-01 04:33:25;-19.099353790;-50.856196086;1.8
7028;1900-01-01 04:34:25;-19.099487305;-50.856240590;1.9
7028;1900-01-01 04:34:32;-19.099541346;-50.856285095;4.2
7028;1900-01-01 04:35:32;-19.100329717;-50.856850942;6.4
7028;1900-01-01 04:36:32;-19.101143519;-50.857416789;6.7
7028;1900-01-01 04:38:32;-19.102796555;-50.858612061;6.7
7028;1900-01-01 04:39:16;-19.103289286;-50.859031677;0.0
7028;1900-01-01 04:40:11;-19.103193919;-50.859082540;0.0
7028;1900-01-01 04:40:20;-19.103197098;-50.859088898;0.0
7028;1900-01-01 04:40:36;-19.103200277;-50.859082540;0.0
7028;1900-01-01 04:42:36;-19.103193919;-50.859076182;0.0
7028;1900-01-01 04:43:36;-19.103190740;-50.859082540;0.0
7028;1900-01-01 04:44:36;-19.103190740;-50.859076182;0.0
7028;1900-01-01 04:45:36;-19.103187561;-50.859076182;0.0
7028;1900-01-01 04:46:36;-19.103181203;-50.859082540;0.0
7028;1900-01-01 04:47:36;-19.103181203;-50.859082540;0.0
7028;1900-01-01 04:48:36;-19.103184382;-50.859076182;0.0
7028;1900-01-01 04:49:36;-19.103187561;-50.859076182;0.0
7028;1900-01-01 04:50:36;-19.103193919;-50.859082540;0.0
7028;1900-01-01 04:51:36;-19.103197098;-50.859063466;0.0
7028;1900-01-01 04:52:36;-19.103197098;-50.859082540;0.0
7028;1900-01-01 04:53:36;-19.103203456;-50.859082540;0.0
7028;1900-01-01 04:54:36;-19.103190740;-50.859082540;0.0
7028;1900-01-01 04:55:20;-19.103311539;-50.859050751;2.2
7028;1900-01-01 04:55:40;-19.103435516;-50.859177907;3.9
7028;1900-01-01 04:55:53;-19.103441874;-50.859196981;0.0
7028;1900-01-01 04:56:22;-19.103435516;-50.859190623;1.3
7028;1900-01-01 04:57:22;-19.103915532;-50.859909058;6.0
7028;1900-01-01 05:07:14;-19.106061300;-50.868008931;2.9
7028;1900-01-01 05:08:14;-19.105924606;-50.867099762;5.8
7028;1900-01-01 05:09:14;-19.105778376;-50.866120656;6.7
7028;1900-01-01 05:14:54;-19.104538600;-50.861384074;5.5
7028;1900-01-01 05:16:54;-19.103899638;-50.859820048;5.9
7028;1900-01-01 05:17:54;-19.103391012;-50.859114329;5.4
7028;1900-01-01 05:18:54;-19.102847417;-50.858624776;5.6
7028;1900-01-01 05:19:54;-19.102173487;-50.858128866;5.1
7028;1900-01-01 05:20:54;-19.101423264;-50.857594808;6.0
7028;1900-01-01 05:21:54;-19.100685755;-50.857073466;5.9
7028;1900-01-01 05:22:54;-19.099983215;-50.856558482;5.3
7028;1900-01-01 05:23:50;-19.099347432;-50.856119792;1.4
7028;1900-01-01 05:24:50;-19.099484126;-50.856208801;2.4
7028;1900-01-01 05:24:54;-19.099496841;-50.856215159;1.1
7028;1900-01-01 05:24:58;-19.099528631;-50.856234233;3.6
7028;1900-01-01 05:25:58;-19.100259781;-50.856761932;6.4
7028;1900-01-01 05:26:58;-19.101006826;-50.857289632;6.2
7028;1900-01-01 05:27:58;-19.101766586;-50.857836405;6.2
7028;1900-01-01 05:28:58;-19.102513631;-50.858357747;6.1
7028;1900-01-01 05:29:58;-19.103212992;-50.858917236;6.1
7028;1900-01-01 05:30:18;-19.103324254;-50.859018962;2.1
7028;1900-01-01 05:31:05;-19.103403727;-50.859088898;2.1
7028;1900-01-01 05:32:05;-19.103928248;-50.859870911;6.1
7028;1900-01-01 05:33:05;-19.104309718;-50.860792796;6.4
7028;1900-01-01 05:42:06;-19.106096268;-50.868097941;3.9
7028;1900-01-01 05:42:10;-19.106093089;-50.868066152;3.2
7028;1900-01-01 05:42:40;-19.106089910;-50.868002574;1.9
7028;1900-01-01 05:43:40;-19.105950038;-50.867125193;6.7
7028;1900-01-01 05:44:40;-19.105800629;-50.866120656;6.1
7028;1900-01-01 05:49:51;-19.104509989;-50.861244202;6.9
7028;1900-01-01 05:51:51;-19.103651683;-50.859375000;6.8
7028;1900-01-01 05:52:51;-19.103114446;-50.858802795;5.6
7028;1900-01-01 05:53:51;-19.102364222;-50.858236949;6.1
7028;1900-01-01 05:54:46;-19.101591746;-50.857690175;7.1
7028;1900-01-01 05:55:46;-19.100777944;-50.857111613;7.0
7028;1900-01-01 05:56:46;-19.099986394;-50.856558482;6.2
7028;1900-01-01 05:57:42;-19.099347432;-50.856100718;2.3
7028;1900-01-01 05:58:42;-19.099455516;-50.856157939;3.8
7028;1900-01-01 05:58:44;-19.099474589;-50.856177012;4.0
7028;1900-01-01 05:59:44;-19.100129445;-50.856647491;6.1
7028;1900-01-01 06:00:44;-19.100892385;-50.857194265;6.2
7028;1900-01-01 06:01:44;-19.101664861;-50.857747396;6.0
7028;1900-01-01 06:02:44;-19.102418264;-50.858268738;6.0
7028;1900-01-01 06:03:44;-19.103133519;-50.858821869;5.8
7028;1900-01-01 06:04:44;-19.103677114;-50.859432220;5.9
7028;1900-01-01 06:05:44;-19.104112625;-50.860252380;5.8
7028;1900-01-01 06:25:49;-19.103766123;-50.859527588;6.6
7028;1900-01-01 06:26:49;-19.103133519;-50.858802795;6.4
7028;1900-01-01 06:27:49;-19.102326075;-50.858192444;7.1
7028;1900-01-01 06:28:49;-19.101483663;-50.857601166;5.3
7028;1900-01-01 06:29:49;-19.100714366;-50.857054392;6.3
7028;1900-01-01 06:30:49;-19.099954605;-50.856526693;5.9
7028;1900-01-01 06:31:48;-19.099302928;-50.856062571;3.4
7028;1900-01-01 06:32:48;-19.099423726;-50.856119792;0.0
7028;1900-01-01 06:32:55;-19.099423726;-50.856119792;0.0
7028;1900-01-01 06:32:58;-19.099423726;-50.856119792;0.0
7028;1900-01-01 06:33:58;-19.099426905;-50.856119792;0.0
7028;1900-01-01 06:34:58;-19.099423726;-50.856113434;0.0
7028;1900-01-01 06:35:58;-19.099426905;-50.856113434;0.0
7028;1900-01-01 06:36:58;-19.099414190;-50.856119792;0.0
7028;1900-01-01 06:37:58;-19.099420547;-50.856113434;0.0
7028;1900-01-01 06:38:58;-19.099398295;-50.856119792;0.0
7028;1900-01-01 06:39:58;-19.099407832;-50.856119792;0.0
7028;1900-01-01 06:40:58;-19.099404653;-50.856126149;0.0
7028;1900-01-01 06:41:58;-19.099398295;-50.856119792;0.0
7028;1900-01-01 06:42:58;-19.099401474;-50.856119792;0.0
7028;1900-01-01 06:43:58;-19.099401474;-50.856119792;0.0
7028;1900-01-01 06:44:58;-19.099401474;-50.856113434;0.0
7028;1900-01-01 06:45:58;-19.099398295;-50.856119792;0.0
7028;1900-01-01 06:46:58;-19.099395116;-50.856113434;0.0
7028;1900-01-01 06:47:58;-19.099395116;-50.856113434;0.0
7028;1900-01-01 06:48:58;-19.099398295;-50.856119792;0.0
7028;1900-01-01 06:49:03;-19.099417369;-50.856138865;3.3
7028;1900-01-01 06:50:03;-19.100072225;-50.856602987;5.5
7028;1900-01-01 06:51:03;-19.100784302;-50.857111613;6.2
7028;1900-01-01 06:52:03;-19.101512273;-50.857626597;5.9
7028;1900-01-01 06:53:03;-19.102233887;-50.858128866;5.7
7028;1900-01-01 06:54:03;-19.102965037;-50.858669281;6.0
7028;1900-01-01 06:55:03;-19.103619893;-50.859336853;6.6
7028;1900-01-01 06:56:03;-19.104106267;-50.860188802;6.3
7028;1900-01-01 07:15:35;-19.104532242;-50.861199697;6.6
7028;1900-01-01 07:17:35;-19.103661219;-50.859343211;6.7
7028;1900-01-01 07:18:35;-19.102942785;-50.858624776;6.4
7028;1900-01-01 07:19:35;-19.102128983;-50.858027140;6.6
7028;1900-01-01 07:20:35;-19.101331075;-50.857461294;6.4
7028;1900-01-01 07:21:35;-19.100555420;-50.856901805;6.0
7028;1900-01-01 07:22:35;-19.099773407;-50.856348674;6.5
7028;1900-01-01 07:23:09;-19.099341075;-50.856043498;2.0
7028;1900-01-01 07:23:14;-19.099347432;-50.856056213;1.5
7028;1900-01-01 07:23:15;-19.099347432;-50.856056213;0.0
7028;1900-01-01 07:24:15;-19.099347432;-50.856011709;0.0
7028;1900-01-01 07:24:35;-19.099344254;-50.856005351;0.0
7028;1900-01-01 07:25:35;-19.099417369;-50.856081645;0.0
7028;1900-01-01 07:25:36;-19.099417369;-50.856081645;0.0
7028;1900-01-01 07:26:36;-19.099417369;-50.856068929;0.0
7028;1900-01-01 07:26:44;-19.099442800;-50.856094360;4.9
