Equipamento;Hora;Latitude;Longitude;Velocidade
7028;1900-01-01 00:00:07;-19.128599803;-50.829086304;0.0
7028;1900-01-01 00:02:07;-19.128618876;-50.829079946;0.0
7028;1900-01-01 00:03:07;-19.128628413;-50.829067230;0.0
7028;1900-01-01 00:04:07;-19.128612518;-50.829092662;0.0
7028;1900-01-01 00:05:07;-19.128606160;-50.829086304;0.0
7028;1900-01-01 00:06:07;-19.128596624;-50.829092662;0.0
7028;1900-01-01 00:07:07;-19.128596624;-50.829079946;0.0
7028;1900-01-01 00:08:07;-19.128602982;-50.829079946;0.0
7028;1900-01-01 00:09:07;-19.128606160;-50.829079946;0.0
7028;1900-01-01 00:10:07;-19.128618876;-50.829067230;0.0
7028;1900-01-01 00:11:07;-19.128606160;-50.829079946;0.0
7028;1900-01-01 00:12:07;-19.128612518;-50.829060872;0.0
7028;1900-01-01 00:13:07;-19.128612518;-50.829079946;0.0
7028;1900-01-01 00:14:07;-19.128637950;-50.829060872;0.0
7028;1900-01-01 00:15:07;-19.128628413;-50.829067230;0.0
7028;1900-01-01 00:16:07;-19.128622055;-50.829054515;0.0
7028;1900-01-01 00:17:07;-19.128634771;-50.829054515;0.0
7028;1900-01-01 00:18:07;-19.128631592;-50.829079946;0.0
7028;1900-01-01 00:19:07;-19.128634771;-50.829099019;0.0
7028;1900-01-01 00:20:07;-19.128641129;-50.829092662;0.0
7028;1900-01-01 00:21:07;-19.128637950;-50.829118093;0.0
7028;1900-01-01 00:22:07;-19.128628413;-50.829118093;0.0
7028;1900-01-01 00:23:07;-19.128628413;-50.829137166;0.0
7028;1900-01-01 00:24:07;-19.128618876;-50.829111735;0.0
7028;1900-01-01 00:25:07;-19.128625234;-50.829111735;0.0
7028;1900-01-01 00:26:07;-19.128599803;-50.829118093;0.0
7028;1900-01-01 00:27:07;-19.128612518;-50.829124451;0.0
7028;1900-01-01 00:28:07;-19.128602982;-50.829124451;0.0
7028;1900-01-01 00:29:07;-19.128599803;-50.829111735;0.0
7028;1900-01-01 00:30:07;-19.128593445;-50.829099019;0.0
7028;1900-01-01 00:31:07;-19.128596624;-50.829092662;0.0
7028;1900-01-01 00:32:07;-19.128615697;-50.829079946;0.0
7028;1900-01-01 00:33:07;-19.128641129;-50.829086304;0.0
7028;1900-01-01 00:34:07;-19.128641129;-50.829086304;0.0
7028;1900-01-01 00:35:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:36:07;-19.128628413;-50.829086304;0.0
7028;1900-01-01 00:37:07;-19.128628413;-50.829086304;0.0
7028;1900-01-01 00:38:07;-19.128634771;-50.829079946;0.0
7028;1900-01-01 00:39:07;-19.128634771;-50.829092662;0.0
7028;1900-01-01 00:40:07;-19.128631592;-50.829092662;0.0
7028;1900-01-01 00:41:07;-19.128622055;-50.829092662;0.0
7028;1900-01-01 00:42:07;-19.128622055;-50.829086304;0.0
7028;1900-01-01 00:43:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:44:07;-19.128615697;-50.829092662;0.0
7028;1900-01-01 00:45:07;-19.128612518;-50.829086304;0.0
7028;1900-01-01 00:46:07;-19.128606160;-50.829092662;0.0
7028;1900-01-01 00:47:07;-19.128606160;-50.829092662;0.0
7028;1900-01-01 00:48:07;-19.128622055;-50.829086304;0.0
7028;1900-01-01 00:49:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:50:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:51:07;-19.128628413;-50.829086304;0.0
7028;1900-01-01 00:52:07;-19.128622055;-50.829086304;0.0
7028;1900-01-01 00:53:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:54:07;-19.128625234;-50.829086304;0.0
7028;1900-01-01 00:55:07;-19.128622055;-50.829086304;0.0
7028;1900-01-01 00:56:07;-19.128622055;-50.829079946;0.0
7028;1900-01-01 00:57:07;-19.128615697;-50.829079946;0.0
7028;1900-01-01 00:58:07;-19.128618876;-50.829079946;0.0
7028;1900-01-01 00:59:07;-19.128618876;-50.829060872;0.0
7028;1900-01-01 01:00:07;-19.128622055;-50.829060872;0.0
7028;1900-01-01 01:01:07;-19.128612518;-50.829060872;0.0
7028;1900-01-01 01:02:07;-19.128622055;-50.829067230;0.0
7028;1900-01-01 01:03:07;-19.128615697;-50.829079946;0.0
7028;1900-01-01 01:04:07;-19.128622055;-50.829067230;0.0
7028;1900-01-01 01:05:07;-19.128622055;-50.829060872;0.0
7028;1900-01-01 01:06:07;-19.128625234;-50.829060872;0.0
7028;1900-01-01 01:07:07;-19.128622055;-50.829060872;0.0
7028;1900-01-01 01:09:07;-19.128622055;-50.829054515;0.0
7028;1900-01-01 01:10:07;-19.128628413;-50.829041799;0.0
7028;1900-01-01 01:11:07;-19.128631592;-50.829035441;0.0
7028;1900-01-01 01:12:07;-19.128628413;-50.829054515;0.0
7028;1900-01-01 01:13:07;-19.128641129;-50.829060872;0.0
7028;1900-01-01 01:14:07;-19.128625234;-50.829067230;0.0
7028;1900-01-01 01:15:07;-19.128612518;-50.829067230;0.0
7028;1900-01-01 01:16:07;-19.128612518;-50.829067230;0.0
7028;1900-01-01 01:17:07;-19.128615697;-50.829067230;0.0
7028;1900-01-01 01:18:07;-19.128612518;-50.829060872;0.0
7028;1900-01-01 01:19:07;-19.128606160;-50.829067230;0.0
7028;1900-01-01 01:20:07;-19.128612518;-50.829086304;0.0
7028;1900-01-01 01:21:07;-19.128615697;-50.829060872;0.0
7028;1900-01-01 01:22:07;-19.128618876;-50.829067230;0.0
7028;1900-01-01 01:23:07;-19.128618876;-50.829067230;0.0
7028;1900-01-01 01:24:07;-19.128622055;-50.829067230;0.0
7028;1900-01-01 01:25:07;-19.128622055;-50.829067230;0.0
7028;1900-01-01 01:26:07;-19.128622055;-50.829079946;0.0
7028;1900-01-01 01:27:07;-19.128622055;-50.829060872;0.0
7028;1900-01-01 01:28:07;-19.128634771;-50.829054515;0.0
7028;1900-01-01 01:29:07;-19.128622055;-50.829060872;0.0
7028;1900-01-01 01:30:07;-19.128609339;-50.829041799;0.0
7028;1900-01-01 01:30:29;-19.128596624;-50.829041799;0.0
7028;1900-01-01 01:31:29;-19.128599803;-50.829079946;0.0
7028;1900-01-01 01:32:29;-19.128552119;-50.829156240;0.0
7028;1900-01-01 01:33:29;-19.128434499;-50.829238892;1.0
7028;1900-01-01 01:34:28;-19.128501256;-50.829079946;3.1
7028;1900-01-01 01:35:28;-19.128679276;-50.828488668;4.6
7028;1900-01-01 01:36:28;-19.128885905;-50.827782949;4.6
7028;1900-01-01 01:37:28;-19.129098892;-50.827089945;4.8
7028;1900-01-01 01:38:26;-19.129222870;-50.826581319;0.0
7028;1900-01-01 01:39:26;-19.129210154;-50.826562246;1.6
7028;1900-01-01 01:39:33;-19.129194260;-50.826594035;2.2
7028;1900-01-01 01:39:44;-19.129172007;-50.826676687;1.2
7028;1900-01-01 01:40:44;-19.128974915;-50.827395121;5.4
7028;1900-01-01 01:41:44;-19.128746033;-50.828189850;5.3
7028;1900-01-01 01:42:44;-19.128526688;-50.828978221;5.1
7028;1900-01-01 01:43:04;-19.128453573;-50.829213460;0.0
7028;1900-01-01 01:44:04;-19.128453573;-50.829156240;4.1
7028;1900-01-01 01:44:16;-19.128472646;-50.829086304;2.6
7028;1900-01-01 01:45:16;-19.128698349;-50.828272502;5.7
7028;1900-01-01 01:46:16;-19.128933589;-50.827433268;5.7
7028;1900-01-01 01:47:16;-19.129172007;-50.826600393;5.3
7028;1900-01-01 01:47:33;-19.129181544;-50.826511383;2.0
7028;1900-01-01 01:48:33;-19.129172007;-50.826562246;3.0
7028;1900-01-01 01:48:39;-19.129159292;-50.826613108;3.9
7028;1900-01-01 01:48:40;-19.129159292;-50.826625824;4.1
7028;1900-01-01 01:49:40;-19.128968557;-50.827318827;5.1
7028;1900-01-01 01:50:40;-19.128733317;-50.828151703;5.7
7028;1900-01-01 01:51:40;-19.128494898;-50.828984578;5.2
7028;1900-01-01 01:52:08;-19.128386815;-50.829245249;3.1
7028;1900-01-01 01:52:53;-19.128428141;-50.829143524;2.0
7028;1900-01-01 01:53:53;-19.128618876;-50.828399658;5.4
7028;1900-01-01 01:56:16;-19.129159292;-50.826524099;0.0
7028;1900-01-01 01:57:16;-19.129149755;-50.826555888;0.0
7028;1900-01-01 01:57:29;-19.129149755;-50.826555888;0.0
7028;1900-01-01 01:58:29;-19.129124324;-50.826670329;0.0
7028;1900-01-01 01:59:12;-19.129124324;-50.826676687;0.0
7028;1900-01-01 02:00:12;-19.129127502;-50.826676687;0.0
7028;1900-01-01 02:01:12;-19.129137039;-50.826676687;0.0
