Equipamento;Hora;Latitude;Longitude;Velocidade;RTK
7028;1900-01-01 00:00:44;-19.129194260;-50.829289754;0.0;Não
7028;1900-01-01 00:01:44;-19.129191081;-50.829283396;0.0;Não
7028;1900-01-01 00:02:44;-19.129187902;-50.829283396;0.0;Não
7028;1900-01-01 00:03:44;-19.129194260;-50.829289754;0.0;Não
7028;1900-01-01 00:04:44;-19.129200617;-50.829289754;0.0;Não
7028;1900-01-01 00:05:44;-19.129203796;-50.829296112;0.0;Não
7028;1900-01-01 00:06:44;-19.129206975;-50.829296112;0.0;Não
7028;1900-01-01 00:07:44;-19.129203796;-50.829289754;0.0;Não
7028;1900-01-01 00:08:44;-19.129197439;-50.829289754;0.0;Não
7028;1900-01-01 00:09:44;-19.129194260;-50.829289754;0.0;Não
7028;1900-01-01 00:10:44;-19.129194260;-50.829289754;0.0;Não
7028;1900-01-01 00:11:44;-19.129200617;-50.829289754;0.0;Não
7028;1900-01-01 00:12:44;-19.129200617;-50.829283396;0.0;Não
7028;1900-01-01 00:13:44;-19.129206975;-50.829283396;0.0;Não
7028;1900-01-01 00:14:44;-19.129210154;-50.829283396;0.0;Não
7028;1900-01-01 00:15:44;-19.129213333;-50.829289754;0.0;Não
7028;1900-01-01 00:16:44;-19.129210154;-50.829289754;0.0;Não
7028;1900-01-01 00:17:44;-19.129203796;-50.829270681;0.0;Não
7028;1900-01-01 00:18:44;-19.129200617;-50.829283396;0.0;Não
7028;1900-01-01 00:19:44;-19.129187902;-50.829270681;0.0;Não
7028;1900-01-01 00:20:44;-19.129191081;-50.829283396;0.0;Não
7028;1900-01-01 00:21:35;-19.129191081;-50.829283396;0.0;Não
7028;1900-01-01 00:22:35;-19.129187902;-50.829283396;0.0;Não
7028;1900-01-01 00:23:35;-19.129191081;-50.829283396;0.0;Não
7028;1900-01-01 00:24:35;-19.129187902;-50.829270681;0.0;Não
7028;1900-01-01 00:25:35;-19.129194260;-50.829270681;0.0;Não
7028;1900-01-01 00:26:35;-19.129194260;-50.829283396;0.0;Não
7028;1900-01-01 00:27:35;-19.129194260;-50.829289754;0.0;Não
7028;1900-01-01 00:28:35;-19.129194260;-50.829283396;0.0;Não
7028;1900-01-01 00:29:35;-19.129197439;-50.829283396;0.0;Não
7028;1900-01-01 00:30:35;-19.129194260;-50.829283396;0.0;Não
7028;1900-01-01 00:31:35;-19.129203796;-50.829289754;0.0;Não
7028;1900-01-01 00:32:35;-19.129203796;-50.829296112;0.0;Não
7028;1900-01-01 00:33:35;-19.129194260;-50.829296112;0.0;Não
7028;1900-01-01 00:34:35;-19.129197439;-50.829296112;0.0;Não
7028;1900-01-01 00:35:35;-19.129203796;-50.829283396;0.0;Não
7028;1900-01-01 00:36:35;-19.129200617;-50.829270681;0.0;Não
7028;1900-01-01 00:37:35;-19.129194260;-50.829264323;1.2;Não
7028;1900-01-01 00:37:51;-19.129210154;-50.829168955;1.7;Não
7028;1900-01-01 00:38:43;-19.129273733;-50.829175313;0.0;Não
7028;1900-01-01 00:39:43;-19.129248301;-50.829168955;0.0;Não
7028;1900-01-01 00:40:43;-19.129267375;-50.829156240;0.0;Não
7028;1900-01-01 00:42:33;-19.129248301;-50.829168955;2.8;Não
7028;1900-01-01 00:43:33;-19.129305522;-50.829181671;0.0;Não
7028;1900-01-01 00:44:33;-19.129308701;-50.829175313;0.0;Não
7028;1900-01-01 00:45:28;-19.129299164;-50.829168955;0.0;Não
7028;1900-01-01 00:46:28;-19.129302343;-50.829188029;0.0;Não
7028;1900-01-01 00:47:28;-19.129295985;-50.829232534;0.0;Não
7028;1900-01-01 00:48:28;-19.129283269;-50.829232534;2.6;Não
7028;1900-01-01 00:49:07;-19.129283269;-50.829296112;2.2;Sim
7028;1900-01-01 00:50:07;-19.129102071;-50.829970042;4.9;Não
7028;1900-01-01 00:50:39;-19.128990809;-50.830345154;0.0;Não
7028;1900-01-01 00:51:00;-19.128978093;-50.830396016;3.5;Não
7028;1900-01-01 00:52:00;-19.128746033;-50.831203461;5.6;Não
