Equipamento;Data/Hora;Apertura do Rolo;Codigo da Operacao;Codigo Frente (digitada);Corporativo;Corte Base Automatico/Manual;Descricao Equipamento;Estado;Estado Operacional;Esteira Ligada;Field Cruiser;Grupo Equipamento/Frente;Grupo Operacao;Horimetro;Implemento Ligado;Justificativa Corte Base Desligado;Latitude;Longitude;Motor Ligado;Operacao;Operador;Pressao de Corte;Regional;RPM Extrator;RPM Motor;RTK (Piloto Automatico);Tipo de Equipamento;Trabalhando em Fila;Trabalhando Frente Dividida;Unidade;Fazenda;Zona;Talhao;Velocidade;Centro de Custo
7031;11/04/2025 00:00:17;76;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;0;1;FRENTE 04;Produtiva;12961.25;1;;-19.706106822;-50.583546956;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;876.52;IB LOGISTICA;870;1850;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.2;
7031;11/04/2025 00:00:39;76.8;1055;1;IB LOGISTICA;1;COLHEDORA;MANOBRA;MANOBRA;0;0;FRENTE 04;Auxiliar;12961.25;1;;-19.706090927;-50.58347702;1;1055 - MANOBRA;982550 - MANOEL BATISTA DA SILVA;629.3;IB LOGISTICA;723;1503;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;2.5;
7031;11/04/2025 00:01:39;74;1055;1;IB LOGISTICA;1;COLHEDORA;MANOBRA;MANOBRA;0;0;FRENTE 04;Auxiliar;12961.30;1;;-19.706005096;-50.583852132;1;1055 - MANOBRA;982550 - MANOEL BATISTA DA SILVA;598.85;IB LOGISTICA;723;1500;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.6;
7031;11/04/2025 00:01:40;74;8540;1;IB LOGISTICA;1;COLHEDORA;DESLOCAMENTO;DESLOCAMENTO INTERNO;0;0;FRENTE 04;Auxiliar;12961.30;1;;-19.706011454;-50.583864848;1;8540 - MUDANCA DE AREA RODANDO;982550 - MANOEL BATISTA DA SILVA;600.3;IB LOGISTICA;721;1488;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;2.8;
7031;11/04/2025 00:01:47;74.8;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;0;0;FRENTE 04;Produtiva;12961.30;1;;-19.706055959;-50.583902995;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;647.42;IB LOGISTICA;731;1509;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;4;
7031;11/04/2025 00:02:05;74;1055;1;IB LOGISTICA;1;COLHEDORA;MANOBRA;MANOBRA;0;0;FRENTE 04;Auxiliar;12961.30;1;;-19.706106822;-50.584055583;1;1055 - MANOBRA;982550 - MANOEL BATISTA DA SILVA;616.25;IB LOGISTICA;721;1499;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.8;
7031;11/04/2025 00:02:06;74;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;0;1;FRENTE 04;Produtiva;12961.30;1;;-19.706110001;-50.584068298;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;689.47;IB LOGISTICA;736;1821;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.7;
7031;11/04/2025 00:03:06;76;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;1;1;FRENTE 04;Produtiva;12961.30;1;;-19.706138611;-50.584494273;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;896.82;IB LOGISTICA;880;1851;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.2;
7031;11/04/2025 00:04:06;76;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;1;1;FRENTE 04;Produtiva;12961.30;1;;-19.706167221;-50.58506012;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;1055.6;IB LOGISTICA;861;1866;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.6;
7031;11/04/2025 00:05:06;76;7290;1;IB LOGISTICA;1;COLHEDORA;TRABALHANDO;TRABALHANDO;1;1;FRENTE 04;Produtiva;12961.35;1;;-19.706211726;-50.585651398;1;7290 - COLHEITA CANA MECANIZADA;982550 - MANOEL BATISTA DA SILVA;865.65;IB LOGISTICA;849;1843;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;3.8;
7031;11/04/2025 00:11:24;76;1055;1;IB LOGISTICA;1;COLHEDORA;MANOBRA;MANOBRA;0;0;FRENTE 04;Auxiliar;12961.45;0;;-19.706383387;-50.589014689;1;1055 - MANOBRA;982550 - MANOEL BATISTA DA SILVA;311.02;IB LOGISTICA;67;1097;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;0;
7031;11/04/2025 00:11:30;76;8340;1;IB LOGISTICA;1;COLHEDORA;PARADA;PARADA;0;0;FRENTE 04;Perdida;12961.45;0;;-19.706386566;-50.589014689;1;8340 - FALTA DE APONTAMENTO;982550 - MANOEL BATISTA DA SILVA;300.15;IB LOGISTICA;0;316;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;0;
7031;11/04/2025 00:13:34;76;8440;1;IB LOGISTICA;1;COLHEDORA;PARADA;PARADA;0;0;FRENTE 04;Improdutiva;12961.45;0;;-19.706377029;-50.589021047;0;8440 - AGUARDANDO COMBOIO;982550 - MANOEL BATISTA DA SILVA;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;50316;1010;8;0;
